,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,按讚數,食材種類,烹飪步驟,url
76,2936,楊桃,XO醬炒蛤蜊,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn48-032_1.jpg,,,1,8,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B02-0351
77,2954,楊桃,筊白筍炒甜椒,https://d3l76hx23vw40a.cloudfront.net/recipe/whk057-012b_1.jpg,,,1,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1373
78,3011,楊桃,糖醋山藥(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn66-019_1.jpg,,,2,11,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1171
79,3054,楊桃,辣炒雞丁,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn31-038_1.jpg,,,0,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1405
80,3100,楊桃,咖哩炒雞片,https://d3l76hx23vw40a.cloudfront.net/recipe/gy46-038b_1.jpg,,,3,11,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1235
81,3139,楊桃,醬燒青椒,https://d3l76hx23vw40a.cloudfront.net/recipe/gy68-040b_1.jpg,,,0,7,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0534
82,3331,楊桃,豉椒炒生腸,https://d3l76hx23vw40a.cloudfront.net/recipe/yt13-033_1.jpg,,,1,12,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-0918
83,3343,楊桃,沙茶鮮蝦粉絲煲,https://d3l76hx23vw40a.cloudfront.net/recipe/gy60-041_1.jpg,,,3,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-0641
84,3440,楊桃,黑椒肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk202-026a_1.jpg,,,0,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2496
85,3475,楊桃,五柳枝,https://d3l76hx23vw40a.cloudfront.net/recipe/bk196-014b_1.jpg,,,0,13,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1336
86,3582,楊桃,金菇炒羊肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk184-028a_1.jpg,,,1,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A04-0145
87,3616,楊桃,竹筍炒肉絲(4),https://d3l76hx23vw40a.cloudfront.net/recipe/bk188-013a_1.jpg,,,0,15,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1994
88,3714,楊桃,鐵板洋蔥,https://d3l76hx23vw40a.cloudfront.net/recipe/bk88-051a_1.jpg,,,2,6,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-343
89,3884,楊桃,炒銀針粉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk64-044_1.jpg,,,1,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-515
90,3898,楊桃,醬爆雞丁,https://d3l76hx23vw40a.cloudfront.net/recipe/bk81-015a_1.jpg,,,0,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-396
91,3973,楊桃,糖醋魚片(3),https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-024_1.jpg,,,0,14,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1205
92,3983,楊桃,清炒馬鈴薯條,https://d3l76hx23vw40a.cloudfront.net/recipe/bk113-036b_1.jpg,,,4,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-0527
93,4003,楊桃,醬爆杏鮑菇,https://d3l76hx23vw40a.cloudfront.net/recipe/bk202-041b_1.jpg,,,2,5,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0372
94,4038,楊桃,青椒鑲肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy08-041_1.jpg,,,0,12,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1441
