,index,Website,按讚數,烹飪時間,食譜名稱,url,圖片連結,食材種類,營養資訊,烹飪步驟,有無影片
83,3238,楊桃,1,,熱炒西生菜,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0741,https://d3l76hx23vw40a.cloudfront.net/recipe/m740_1.jpg,8.0,,3.0,
84,3279,楊桃,0,,蔥爆肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2352,https://d3l76hx23vw40a.cloudfront.net/recipe/m159_1.jpg,9.0,,3.0,
85,3285,楊桃,29,,客家小炒(17),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2154,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn43-022_1.jpg,10.0,,3.0,
86,3290,楊桃,2,,竹筍炒肉絲(5),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1450,https://d3l76hx23vw40a.cloudfront.net/recipe/whk067-108_1.jpg,9.0,,3.0,
87,3336,楊桃,0,,傳統廣州炒麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-701,https://d3l76hx23vw40a.cloudfront.net/recipe/ck36-008_1.jpg,14.0,,8.0,
88,3380,楊桃,0,,蔥燒豬肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1285,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn16-014_1.jpg,9.0,,4.0,
89,3387,楊桃,0,,腐皮鮮蝦捲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B03-127,https://d3l76hx23vw40a.cloudfront.net/recipe/bk73-050_1.jpg,13.0,,4.0,
90,3398,楊桃,5,,香菇炒龍鬚菜,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1464,https://d3l76hx23vw40a.cloudfront.net/recipe/whk072-013_1.jpg,10.0,,4.0,
91,3452,楊桃,0,,芋頭飯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-185,https://d3l76hx23vw40a.cloudfront.net/recipe/whk14-115a_1.jpg,8.0,,3.0,
92,3518,楊桃,3,,肉絲炒冬粉(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1534,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn29-058a_1.jpg,15.0,,4.0,
93,3527,楊桃,2,,什錦蛋炒飯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0332,https://d3l76hx23vw40a.cloudfront.net/recipe/gy61-043_1.jpg,10.0,,5.0,
94,3548,楊桃,20,,滷排骨(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2540,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn072-014_1.jpg,16.0,,6.0,
95,3564,楊桃,10,,什錦羹,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B04-004,https://d3l76hx23vw40a.cloudfront.net/recipe/wbk07-re54_1.jpg,19.0,,6.0,
96,3584,楊桃,25,,韭黃炸春捲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-503,https://d3l76hx23vw40a.cloudfront.net/recipe/bk73-044_1.jpg,18.0,,4.0,
97,3585,楊桃,0,,豆腐腦,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1246,https://d3l76hx23vw40a.cloudfront.net/recipe/ck78-037_1.jpg,6.0,,3.0,
98,3616,楊桃,0,,竹筍炒肉絲(4),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1994,https://d3l76hx23vw40a.cloudfront.net/recipe/bk188-013a_1.jpg,15.0,,5.0,
99,3648,楊桃,0,,京醬肉絲(7),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2533,https://d3l76hx23vw40a.cloudfront.net/recipe/bk214-021a_1.jpg,12.0,,3.0,
100,3745,楊桃,1,,八珍豆腐煲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-1853,https://d3l76hx23vw40a.cloudfront.net/recipe/whk059-109a_1.jpg,19.0,,4.0,
101,3756,楊桃,0,,酸菜肉絲乾拌麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2628,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn095-012_1.jpg,9.0,,4.0,
102,3781,楊桃,0,,雪菜肉絲(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0524,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-037b_1.jpg,3.0,,2.0,
103,3786,楊桃,0,,地瓜燉肉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2571,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn074-027_1.jpg,7.0,,3.0,
104,3794,楊桃,0,,芥菜葉辣炒肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0942,https://d3l76hx23vw40a.cloudfront.net/recipe/whk077-015b_1.jpg,8.0,,2.0,
105,3914,楊桃,3,,打滷麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0957,https://d3l76hx23vw40a.cloudfront.net/recipe/whk090-017a_1.jpg,13.0,,4.0,
106,4009,楊桃,0,,豬肉什錦麵,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2077,https://d3l76hx23vw40a.cloudfront.net/recipe/bk192-042_1.jpg,13.0,,5.0,
107,4134,楊桃,0,,塔香豬肉捲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2344,https://d3l76hx23vw40a.cloudfront.net/recipe/bk195-030a_1.jpg,4.0,,4.0,
108,4135,楊桃,4,,電鍋佛跳牆,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2393,https://d3l76hx23vw40a.cloudfront.net/recipe/m781_1.jpg,14.0,,4.0,
109,4158,楊桃,2,,家常豆腐(4),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0380,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn40-047b_1.jpg,11.0,,3.0,
110,4238,楊桃,0,,青椒肉絲燴飯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2840,https://d3l76hx23vw40a.cloudfront.net/recipe/whk062-059b_1.jpg,14.0,,3.0,
111,4260,楊桃,3,,金黃炸豬排,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2764,https://d3l76hx23vw40a.cloudfront.net/recipe/whk057-010_1.jpg,8.0,,8.0,
112,4282,楊桃,0,,懷舊排骨菜飯便當,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-367,https://d3l76hx23vw40a.cloudfront.net/recipe/fk04-052_1.jpg,26.0,,7.0,
113,4337,楊桃,4,,台式鹹粥(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-429,https://d3l76hx23vw40a.cloudfront.net/recipe/bk56-023_1.jpg,14.0,,2.0,
114,4343,楊桃,0,,木須肉絲湯,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1474,https://d3l76hx23vw40a.cloudfront.net/recipe/bk148-047b_1.jpg,7.0,,2.0,
115,4358,楊桃,0,,雞肉餛飩餡,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A03-436,https://d3l76hx23vw40a.cloudfront.net/recipe/hq14-021a_1.jpg,11.0,,7.0,
116,4408,楊桃,0,,木須肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1995,https://d3l76hx23vw40a.cloudfront.net/recipe/bk188-013b_1.jpg,13.0,,4.0,
117,4472,楊桃,1,,泡菜炒飯(2),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0392,https://d3l76hx23vw40a.cloudfront.net/recipe/ck77-028_1.jpg,7.0,,5.0,
118,4474,楊桃,0,,經典炸排骨(乾粉),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2539,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn072-012_1.jpg,11.0,,6.0,
119,4482,楊桃,0,,沙茶拌米粉,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-0936,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn30-046a_1.jpg,12.0,,3.0,
120,4490,楊桃,0,,泡菜炒豆干,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-0085,https://d3l76hx23vw40a.cloudfront.net/recipe/bk129-037_1.jpg,9.0,,3.0,
121,4495,楊桃,0,,青蔥炒肉絲,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1613,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-026c_1.jpg,6.0,,2.0,
122,4516,楊桃,0,,蟹殼黃(1),https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1719,https://d3l76hx23vw40a.cloudfront.net/recipe/gy41-072_1.jpg,7.0,,3.0,
123,4527,楊桃,1,,脆瓜肉片,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2014,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn31-033a_1.jpg,6.0,,2.0,
124,4528,楊桃,1,,紅燒皮蛋,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0540,https://d3l76hx23vw40a.cloudfront.net/recipe/bk186-035_1.jpg,9.0,,4.0,
