,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
80,4466,楊桃,沙嗲牛肉炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-036b_1.jpg,,,,20,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0722,0
81,4483,楊桃,青椒炒牛肉絲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk128-033c_1.jpg,,,,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0557,1
82,4507,楊桃,洋蔥牛肉蔥抓餅,https://d3l76hx23vw40a.cloudfront.net/recipe/gy56-031a_1.jpg,,,,5,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0770,2
83,4546,楊桃,沙茶彩椒牛肉炒飯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk078-008b_1.jpg,,,,13,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1080,0
84,4672,楊桃,四季豆炒牛肉絲,https://d3l76hx23vw40a.cloudfront.net/recipe/whk050-017_1.jpg,,,,12,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0994,0
85,4683,楊桃,青椒炒牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk182-016a_1.jpg,,,,10,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0824,0
86,4714,楊桃,清炒四色,https://d3l76hx23vw40a.cloudfront.net/recipe/dry-032_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=E01-024,0
87,4717,楊桃,沙茶牛肉絲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk146-043_1.jpg,,,,17,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0672,0
88,4807,楊桃,乾炒牛肉絲烏冬,https://d3l76hx23vw40a.cloudfront.net/recipe/ck36-028_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-358,0
89,4860,楊桃,藥膳牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/ck64-017_1.jpg,,,,3,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0510,0
90,4931,楊桃,黑椒牛肉炒麵,https://d3l76hx23vw40a.cloudfront.net/recipe/gy33-022b_1.jpg,,,,20,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0720,0
91,4938,楊桃,蔥爆牛肉(12),https://d3l76hx23vw40a.cloudfront.net/recipe/gy47-044_1.jpg,,,,12,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0755,0
92,4955,楊桃,蕃茄牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk146-047b_1.jpg,,,,18,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0677,1
93,5011,楊桃,夫妻肺片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk79-029_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-263,0
94,5062,楊桃,蠔油菠菜牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk44-090_1.jpg,,,,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-394,0
95,5070,楊桃,沙茶粉絲牛肉煲,https://d3l76hx23vw40a.cloudfront.net/recipe/bk79-021_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-254,1
96,5089,楊桃,韭黃牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/gy71-037_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0810,0
97,5096,楊桃,韓式燒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/aa007-099_1.jpg,,,,8,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0982,1
98,5105,楊桃,蔥爆牛肉(8),https://d3l76hx23vw40a.cloudfront.net/recipe/bk146-045_1.jpg,,,,17,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0673,0
99,5127,楊桃,蔥爆牛肉(6),https://d3l76hx23vw40a.cloudfront.net/recipe/bk119-031_1.jpg,,,,16,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0487,0
100,5128,楊桃,蔥爆牛肉捲餅,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn03-044a_1.jpg,,,,17,7,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0454,1
101,5134,楊桃,甜椒牛肉炒飯,https://d3l76hx23vw40a.cloudfront.net/recipe/hq17-018_1.jpg,,,,14,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-585,0
102,5141,楊桃,素牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/00_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-245,0
103,5238,楊桃,五香牛肉麵,https://d3l76hx23vw40a.cloudfront.net/recipe/ck64-026b_1.jpg,,,,3,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0516,0
104,5242,楊桃,牛肉炒山蘇,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn084-012a_1.jpg,,,,11,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0971,0
105,5259,楊桃,牛肉湯河粉,https://d3l76hx23vw40a.cloudfront.net/recipe/hq28-022_1.jpg,,,,12,8,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-295,0
106,5350,楊桃,苦瓜炒牛肉片,https://d3l76hx23vw40a.cloudfront.net/recipe/bk195-014_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0618,0
107,5405,楊桃,蕃茄牛肉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/m691_1.jpg,,,,16,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0913,0
108,5482,楊桃,沙茶炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn084-011_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0970,0
109,5522,楊桃,骰子牛肉杏鮑菇,https://d3l76hx23vw40a.cloudfront.net/recipe/00_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0945,0
110,5556,楊桃,苦瓜炒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/whk061-102a_1.jpg,,,,15,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-1044,0
111,5569,楊桃,青椒牛肉絲(2),https://d3l76hx23vw40a.cloudfront.net/recipe/bk111-034_1.jpg,,,,18,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0440,0
112,5780,楊桃,黑胡椒牛柳,https://d3l76hx23vw40a.cloudfront.net/recipe/bk114-019_1.jpg,,,,20,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0451,0
113,5788,楊桃,蔬菜牛肉湯,https://d3l76hx23vw40a.cloudfront.net/recipe/ck64-027a_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0517,1
114,5909,楊桃,咖哩炒牛肉(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk196-040a_1.jpg,,,,12,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0936,0
115,5911,楊桃,黑椒青椒牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk146-046b_1.jpg,,,,20,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0675,0
116,6006,楊桃,椒麻牛肉,https://d3l76hx23vw40a.cloudfront.net/recipe/bk188-018a_1.jpg,,,,17,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0835,0
117,6117,楊桃,紹子乾拌麵,https://d3l76hx23vw40a.cloudfront.net/recipe/bk95-036_1.jpg,,,,3,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-565,0
