,index,Website,食譜名稱,圖片連結,點擊次數,烹飪時間,有無影片,食材種類,烹飪步驟,url,按讚數
110,3688,楊桃,芝麻鯛魚片,https://d3l76hx23vw40a.cloudfront.net/recipe/aa007-061_1.jpg,,,,9,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=B01-1486,0
111,3707,楊桃,素火腿高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk165-039b_1.jpg,,,,10,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0544,0
112,3785,楊桃,豆酥高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/bk46-040a_1.jpg,,,,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F03-014,0
113,3813,楊桃,麻辣臭豆腐鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn09-014b_1.jpg,,,,9,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A01-0564,0
114,3819,楊桃,豆皮滷高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn04-037b_1.jpg,,,,8,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0293,1
115,3827,楊桃,豆漿鍋(1),https://d3l76hx23vw40a.cloudfront.net/recipe/bk155-031b_1.jpg,,,,7,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1568,0
116,3835,楊桃,培根高麗菜(2),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn31-046a_1.jpg,,,,4,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0670,0
117,3870,楊桃,大黃瓜湯,https://d3l76hx23vw40a.cloudfront.net/recipe/whk092-092a_1.jpg,,,,10,3,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0891,1
118,3919,楊桃,素食養生鍋,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn09-022_1.jpg,,,,9,5,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F06-0173,0
119,3920,楊桃,三色高麗菜,https://d3l76hx23vw40a.cloudfront.net/recipe/gy34-021c_1.jpg,,,,6,2,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0519,0
120,3945,楊桃,蔬菜鹹粥(1),https://d3l76hx23vw40a.cloudfront.net/recipe/yqn32-018_1.jpg,,,,12,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-0919,0
121,3967,楊桃,米粉沙拉 ,https://d3l76hx23vw40a.cloudfront.net/recipe/whk056-019a_1.jpg,,,,13,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2762,0
122,3981,楊桃,培根炒高麗菜(3),https://d3l76hx23vw40a.cloudfront.net/recipe/gy47-062_1.jpg,,,,7,4,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F02-0573,1
123,3985,楊桃,香椿豬肉水餃,https://d3l76hx23vw40a.cloudfront.net/recipe/bk109-018b_1.jpg,,,,13,6,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-0930,0
